id,cluster
7be2d720-52c2-4f8a-a82a-2b90f535ad40,3
0d3f1ae0-f78c-47d3-9df6-b749e36304a2,2
c7dbd2da-a758-44ba-9e16-ee10ec99f631,3
24889764-ab00-4c8e-ae3e-5945601bbafb,0
8da7061a-5e02-49b0-a888-fb3461b8a8c5,0
3890f753-a284-4da4-9723-c0a697c8a403,3
41a4f5a5-728a-4965-b483-6e265eebf93a,3
b30cef8b-4065-4272-89b5-57b1fd91c50d,0
8b1f5085-e3de-45f9-9ba1-aa6bb450722e,2
4da333cf-6f2a-4b64-9212-2be665c5e1e3,2
e0bfc6b2-19de-475e-ba88-6d6081204ed9,3
e67e6b48-e699-4e55-9640-ff061375d513,3
2c0d57e5-e106-4874-b3fc-2204172df725,0
e14a46c3-b349-4441-b09f-8088e5663262,0
87daa9e0-9c54-4c2e-8a7e-f3765fb00184,2
b07bd542-9662-4390-9fc7-219914cd3cc7,0
63078462-b3a8-463c-8c44-301ec9d0d024,2
842bed3a-ff53-487d-8619-71438456c9a8,0
7751590f-f067-46b8-9ae1-db7846fedbaf,0
3db44a0a-145e-4ef9-a303-c499bc03bfb8,1
4867919e-2a2f-4f11-83b4-aa51c4684475,0
7916fb45-89ef-445c-93f7-21a464eb870c,0
7aff99bf-c340-40b0-b54a-c7e97394c99d,0
590fd451-ad87-4ead-8d51-41edc690b327,0
16d83724-2489-4924-bd4a-f8ff2a0903d7,0
dc0d96eb-b036-4418-bc38-4cfde5d5bbe5,0
76d3f8c4-f84c-4ec8-8ed7-5ae3e856f408,1
b78ef921-0ff1-4e4b-aa5d-fe99d9e3de91,0
b954d3d2-f2d8-4b11-955e-31c7839517f5,0
6d0a3267-d32e-40c4-a689-b350ea715f1c,0
7e5252f4-8c56-4166-b5f2-535591d81505,1
078f6ae4-4cf2-4c74-b810-157537c3a8b9,3
e2cf8e2c-68d4-4334-9b7d-cc11fa0213dd,1
f19fd194-e55d-47b4-be13-fe00f147ebfb,1
86947c4f-30f3-44b2-bf27-b38f774d454a,1
b2bc544a-219d-4899-9fa4-191e3f475649,0
ba15db82-482e-4674-96a0-51234d6b82b2,3
1de03ffd-cfca-42e0-bd89-21e62f0e0aac,1
aad5ef88-18cc-4492-9506-09871a1b5245,1
0cf70763-c18a-4c9b-b5d9-f4cbb127190b,1
451c9406-3053-4605-9f1e-0b6183d93d56,0
dff7cdb0-f464-4b60-91ce-8d628f8ed4de,3
75551299-bf73-4b4d-9f30-192dc8d98a46,0
47d6609c-1ffa-4576-9265-bdabbd6cec0e,3
bb18f827-a40c-4bb7-ac4a-6a407fffc209,1
aa39bdac-3029-4450-a42e-4e5f81360866,2
a7674ae7-731c-46ab-94db-a7a972df8849,0
54ebb88a-f9a0-4f41-9a28-20e72c87f491,1
