rfq_id,match_id,similarity_score
facd942d-02a2-46bf-936c-e3afd39ee20d,69b87316-8ff0-4eab-b9ff-210247784518,1.0
140d30f7-f16d-4455-a448-516ab6616812,ac960bda-be71-418a-88a9-3f68201c3c0c,1.0
140d30f7-f16d-4455-a448-516ab6616812,7a657d65-533c-4ad1-a7f0-5f4f8c860da2,1.0
140d30f7-f16d-4455-a448-516ab6616812,69b87316-8ff0-4eab-b9ff-210247784518,1.0
178a48ef-f870-46d7-ba3c-c94b35477459,ac960bda-be71-418a-88a9-3f68201c3c0c,1.0
178a48ef-f870-46d7-ba3c-c94b35477459,7a657d65-533c-4ad1-a7f0-5f4f8c860da2,1.0
178a48ef-f870-46d7-ba3c-c94b35477459,69b87316-8ff0-4eab-b9ff-210247784518,1.0
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,ac960bda-be71-418a-88a9-3f68201c3c0c,1.0
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,7a657d65-533c-4ad1-a7f0-5f4f8c860da2,1.0
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,69b87316-8ff0-4eab-b9ff-210247784518,1.0
ca60a74b-7cdc-4098-a20c-2de916dcb66b,df6085e7-42f9-4ce3-92b0-3a7a24159a61,1.0
ca60a74b-7cdc-4098-a20c-2de916dcb66b,eacf8951-7847-48f9-aba4-151e97e3a2c7,0.75
ca60a74b-7cdc-4098-a20c-2de916dcb66b,8640b0bf-8c2c-499e-88c1-c603e367dc2a,0.75
df6085e7-42f9-4ce3-92b0-3a7a24159a61,ca60a74b-7cdc-4098-a20c-2de916dcb66b,1.0
df6085e7-42f9-4ce3-92b0-3a7a24159a61,eacf8951-7847-48f9-aba4-151e97e3a2c7,0.75
df6085e7-42f9-4ce3-92b0-3a7a24159a61,8640b0bf-8c2c-499e-88c1-c603e367dc2a,0.75
e46aa804-164c-4907-a7ca-07a99d66d1b6,094422ce-696c-482d-9927-c3cfbf347f7a,1.0
e46aa804-164c-4907-a7ca-07a99d66d1b6,26ea35b5-2ccf-4fdc-884f-50a7c3a000b8,0.75
e46aa804-164c-4907-a7ca-07a99d66d1b6,fc1422b5-5614-4afa-a1d4-9e754f3575b0,0.75
094422ce-696c-482d-9927-c3cfbf347f7a,e46aa804-164c-4907-a7ca-07a99d66d1b6,1.0
094422ce-696c-482d-9927-c3cfbf347f7a,26ea35b5-2ccf-4fdc-884f-50a7c3a000b8,0.75
094422ce-696c-482d-9927-c3cfbf347f7a,fc1422b5-5614-4afa-a1d4-9e754f3575b0,0.75
a462a4cb-bbaa-4417-b876-4b8606c6f8db,8aff426d-b8c0-43aa-ad26-835ef4de6129,1.0
a462a4cb-bbaa-4417-b876-4b8606c6f8db,cb02a574-f56a-4aee-bc89-e4316b93dcdb,1.0
a462a4cb-bbaa-4417-b876-4b8606c6f8db,48859269-b06e-47e5-8622-71248b61cd86,1.0
7729084d-fc2d-41d8-a8df-891da74078f1,3c938716-3889-4d73-bb45-d4586b1a44b1,1.0
7729084d-fc2d-41d8-a8df-891da74078f1,1c780fca-582c-44fa-9fcb-3b809f9e62a1,1.0
7729084d-fc2d-41d8-a8df-891da74078f1,f783f578-22ef-4072-855f-b8202e7fea9a,1.0
86008598-05ed-4532-8a70-e8ee8daf3796,3c938716-3889-4d73-bb45-d4586b1a44b1,1.0
86008598-05ed-4532-8a70-e8ee8daf3796,1c780fca-582c-44fa-9fcb-3b809f9e62a1,1.0
86008598-05ed-4532-8a70-e8ee8daf3796,f783f578-22ef-4072-855f-b8202e7fea9a,1.0
06bf89b8-3e0b-4be9-a611-1e656cae34eb,ac960bda-be71-418a-88a9-3f68201c3c0c,1.0
06bf89b8-3e0b-4be9-a611-1e656cae34eb,7a657d65-533c-4ad1-a7f0-5f4f8c860da2,1.0
06bf89b8-3e0b-4be9-a611-1e656cae34eb,69b87316-8ff0-4eab-b9ff-210247784518,1.0
502b3359-ee17-4ecc-8046-ceb4e6559fb8,3c938716-3889-4d73-bb45-d4586b1a44b1,1.0
502b3359-ee17-4ecc-8046-ceb4e6559fb8,1c780fca-582c-44fa-9fcb-3b809f9e62a1,1.0
502b3359-ee17-4ecc-8046-ceb4e6559fb8,f783f578-22ef-4072-855f-b8202e7fea9a,1.0
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,3c938716-3889-4d73-bb45-d4586b1a44b1,1.0
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,1c780fca-582c-44fa-9fcb-3b809f9e62a1,1.0
